,estacion,sentido,hora,categoria,cantidad
0,ANDES,BOG-CHI,0,I,179
1,ANDES,BOG-CHI,1,I,127
2,ANDES,BOG-CHI,2,I,98
3,ANDES,BOG-CHI,3,I,123
4,ANDES,BOG-CHI,4,I,321
5,ANDES,BOG-CHI,5,I,1170
6,ANDES,BOG-CHI,6,I,1558
7,ANDES,BOG-CHI,7,I,942
8,ANDES,BOG-CHI,8,I,1327
9,ANDES,BOG-CHI,9,I,1712
10,ANDES,BOG-CHI,10,I,1431
11,ANDES,BOG-CHI,11,I,1496
12,ANDES,BOG-CHI,12,I,1359
13,ANDES,BOG-CHI,13,I,1565
14,ANDES,BOG-CHI,14,I,1488
15,ANDES,BOG-CHI,15,I,1850
16,ANDES,BOG-CHI,16,I,1620
17,ANDES,BOG-CHI,17,I,1694
18,ANDES,BOG-CHI,18,I,1474
19,ANDES,BOG-CHI,19,I,1942
20,ANDES,BOG-CHI,20,I,2180
21,ANDES,BOG-CHI,21,I,1856
22,ANDES,BOG-CHI,22,I,1118
23,ANDES,BOG-CHI,23,I,691
24,ANDES,BOG-CHI,0,II,6
25,ANDES,BOG-CHI,1,II,3
26,ANDES,BOG-CHI,2,II,4
27,ANDES,BOG-CHI,3,II,1
28,ANDES,BOG-CHI,4,II,23
29,ANDES,BOG-CHI,5,II,124
30,ANDES,BOG-CHI,6,II,223
31,ANDES,BOG-CHI,7,II,150
32,ANDES,BOG-CHI,8,II,179
33,ANDES,BOG-CHI,9,II,150
34,ANDES,BOG-CHI,10,II,133
35,ANDES,BOG-CHI,11,II,110
36,ANDES,BOG-CHI,12,II,118
37,ANDES,BOG-CHI,13,II,135
38,ANDES,BOG-CHI,14,II,102
39,ANDES,BOG-CHI,15,II,140
40,ANDES,BOG-CHI,16,II,179
41,ANDES,BOG-CHI,17,II,182
42,ANDES,BOG-CHI,18,II,138
43,ANDES,BOG-CHI,19,II,127
44,ANDES,BOG-CHI,20,II,91
45,ANDES,BOG-CHI,21,II,89
46,ANDES,BOG-CHI,22,II,40
47,ANDES,BOG-CHI,23,II,16
48,ANDES,BOG-CHI,0,III,37
49,ANDES,BOG-CHI,1,III,24
50,ANDES,BOG-CHI,2,III,33
51,ANDES,BOG-CHI,3,III,31
52,ANDES,BOG-CHI,4,III,76
53,ANDES,BOG-CHI,5,III,124
54,ANDES,BOG-CHI,6,III,96
55,ANDES,BOG-CHI,7,III,93
56,ANDES,BOG-CHI,8,III,122
57,ANDES,BOG-CHI,9,III,139
58,ANDES,BOG-CHI,10,III,119
59,ANDES,BOG-CHI,11,III,147
60,ANDES,BOG-CHI,12,III,130
61,ANDES,BOG-CHI,13,III,108
62,ANDES,BOG-CHI,14,III,87
63,ANDES,BOG-CHI,15,III,130
64,ANDES,BOG-CHI,16,III,143
65,ANDES,BOG-CHI,17,III,124
66,ANDES,BOG-CHI,18,III,85
67,ANDES,BOG-CHI,19,III,89
68,ANDES,BOG-CHI,20,III,84
69,ANDES,BOG-CHI,21,III,61
70,ANDES,BOG-CHI,22,III,55
71,ANDES,BOG-CHI,23,III,35
72,ANDES,BOG-CHI,0,IV,8
73,ANDES,BOG-CHI,1,IV,15
74,ANDES,BOG-CHI,2,IV,17
75,ANDES,BOG-CHI,3,IV,17
76,ANDES,BOG-CHI,4,IV,38
77,ANDES,BOG-CHI,5,IV,44
78,ANDES,BOG-CHI,6,IV,33
79,ANDES,BOG-CHI,7,IV,20
80,ANDES,BOG-CHI,8,IV,24
81,ANDES,BOG-CHI,9,IV,40
82,ANDES,BOG-CHI,10,IV,43
83,ANDES,BOG-CHI,11,IV,55
84,ANDES,BOG-CHI,12,IV,48
85,ANDES,BOG-CHI,13,IV,42
86,ANDES,BOG-CHI,14,IV,39
87,ANDES,BOG-CHI,15,IV,39
88,ANDES,BOG-CHI,16,IV,59
89,ANDES,BOG-CHI,17,IV,40
90,ANDES,BOG-CHI,18,IV,27
91,ANDES,BOG-CHI,19,IV,25
92,ANDES,BOG-CHI,20,IV,32
93,ANDES,BOG-CHI,21,IV,38
94,ANDES,BOG-CHI,22,IV,20
95,ANDES,BOG-CHI,23,IV,13
96,ANDES,BOG-CHI,0,V,7
97,ANDES,BOG-CHI,1,V,6
98,ANDES,BOG-CHI,2,V,5
99,ANDES,BOG-CHI,3,V,13
100,ANDES,BOG-CHI,4,V,22
101,ANDES,BOG-CHI,5,V,24
102,ANDES,BOG-CHI,6,V,32
103,ANDES,BOG-CHI,7,V,13
104,ANDES,BOG-CHI,8,V,13
105,ANDES,BOG-CHI,9,V,27
106,ANDES,BOG-CHI,10,V,22
107,ANDES,BOG-CHI,11,V,25
108,ANDES,BOG-CHI,12,V,30
109,ANDES,BOG-CHI,13,V,23
110,ANDES,BOG-CHI,14,V,17
111,ANDES,BOG-CHI,15,V,19
112,ANDES,BOG-CHI,16,V,27
113,ANDES,BOG-CHI,17,V,14
114,ANDES,BOG-CHI,18,V,9
115,ANDES,BOG-CHI,19,V,12
116,ANDES,BOG-CHI,20,V,5
117,ANDES,BOG-CHI,21,V,13
118,ANDES,BOG-CHI,22,V,5
119,ANDES,BOG-CHI,23,V,2
120,ANDES,BOG-CHI,0,VI,13
121,ANDES,BOG-CHI,1,VI,5
122,ANDES,BOG-CHI,2,VI,11
123,ANDES,BOG-CHI,3,VI,16
124,ANDES,BOG-CHI,4,VI,15
125,ANDES,BOG-CHI,5,VI,25
126,ANDES,BOG-CHI,6,VI,11
127,ANDES,BOG-CHI,7,VI,6
128,ANDES,BOG-CHI,8,VI,10
129,ANDES,BOG-CHI,9,VI,21
130,ANDES,BOG-CHI,10,VI,14
131,ANDES,BOG-CHI,11,VI,19
132,ANDES,BOG-CHI,12,VI,27
133,ANDES,BOG-CHI,13,VI,18
134,ANDES,BOG-CHI,14,VI,20
135,ANDES,BOG-CHI,15,VI,21
136,ANDES,BOG-CHI,16,VI,42
137,ANDES,BOG-CHI,17,VI,33
138,ANDES,BOG-CHI,18,VI,17
139,ANDES,BOG-CHI,19,VI,24
140,ANDES,BOG-CHI,20,VI,23
141,ANDES,BOG-CHI,21,VI,23
142,ANDES,BOG-CHI,22,VI,13
143,ANDES,BOG-CHI,23,VI,15
144,ANDES,BOG-CHI,0,VII,23
145,ANDES,BOG-CHI,1,VII,29
146,ANDES,BOG-CHI,2,VII,27
147,ANDES,BOG-CHI,3,VII,17
148,ANDES,BOG-CHI,4,VII,47
149,ANDES,BOG-CHI,5,VII,47
150,ANDES,BOG-CHI,6,VII,21
151,ANDES,BOG-CHI,7,VII,10
152,ANDES,BOG-CHI,8,VII,12
153,ANDES,BOG-CHI,9,VII,16
154,ANDES,BOG-CHI,10,VII,34
155,ANDES,BOG-CHI,11,VII,34
156,ANDES,BOG-CHI,12,VII,49
157,ANDES,BOG-CHI,13,VII,19
158,ANDES,BOG-CHI,14,VII,22
159,ANDES,BOG-CHI,15,VII,43
160,ANDES,BOG-CHI,16,VII,32
161,ANDES,BOG-CHI,17,VII,41
162,ANDES,BOG-CHI,18,VII,20
163,ANDES,BOG-CHI,19,VII,36
164,ANDES,BOG-CHI,20,VII,33
165,ANDES,BOG-CHI,21,VII,36
166,ANDES,BOG-CHI,22,VII,22
167,ANDES,BOG-CHI,23,VII,21
168,FUSCA,BOG-CHI,0,I,2
169,FUSCA,BOG-CHI,1,I,2
170,FUSCA,BOG-CHI,2,I,1
171,FUSCA,BOG-CHI,4,I,9
172,FUSCA,BOG-CHI,5,I,48
173,FUSCA,BOG-CHI,6,I,218
174,FUSCA,BOG-CHI,7,I,315
175,FUSCA,BOG-CHI,8,I,435
176,FUSCA,BOG-CHI,9,I,244
177,FUSCA,BOG-CHI,10,I,165
178,FUSCA,BOG-CHI,11,I,156
179,FUSCA,BOG-CHI,12,I,192
180,FUSCA,BOG-CHI,13,I,246
181,FUSCA,BOG-CHI,14,I,322
182,FUSCA,BOG-CHI,15,I,430
183,FUSCA,BOG-CHI,16,I,324
184,FUSCA,BOG-CHI,17,I,221
185,FUSCA,BOG-CHI,18,I,233
186,FUSCA,BOG-CHI,19,I,186
187,FUSCA,BOG-CHI,20,I,189
188,FUSCA,BOG-CHI,21,I,86
189,FUSCA,BOG-CHI,22,I,15
190,FUSCA,BOG-CHI,23,I,11
191,FUSCA,BOG-CHI,5,II,7
192,FUSCA,BOG-CHI,6,II,11
193,FUSCA,BOG-CHI,7,II,5
194,FUSCA,BOG-CHI,12,II,3
195,FUSCA,BOG-CHI,13,II,7
196,FUSCA,BOG-CHI,14,II,5
197,FUSCA,BOG-CHI,15,II,8
198,FUSCA,BOG-CHI,16,II,6
199,FUSCA,BOG-CHI,18,II,3
200,FUSCA,BOG-CHI,21,II,1
201,FUSCA,BOG-CHI,2,III,1
202,FUSCA,BOG-CHI,4,III,1
203,FUSCA,BOG-CHI,5,III,1
204,FUSCA,BOG-CHI,6,III,1
205,FUSCA,BOG-CHI,7,III,10
206,FUSCA,BOG-CHI,8,III,10
207,FUSCA,BOG-CHI,9,III,9
208,FUSCA,BOG-CHI,10,III,6
209,FUSCA,BOG-CHI,11,III,4
210,FUSCA,BOG-CHI,12,III,7
211,FUSCA,BOG-CHI,13,III,7
212,FUSCA,BOG-CHI,14,III,3
213,FUSCA,BOG-CHI,15,III,8
214,FUSCA,BOG-CHI,16,III,13
215,FUSCA,BOG-CHI,17,III,3
216,FUSCA,BOG-CHI,18,III,5
217,FUSCA,BOG-CHI,19,III,2
218,FUSCA,BOG-CHI,20,III,2
219,FUSCA,BOG-CHI,21,III,1
220,FUSCA,BOG-CHI,22,III,1
221,FUSCA,BOG-CHI,23,III,1
222,FUSCA,BOG-CHI,4,IV,1
223,FUSCA,BOG-CHI,5,IV,3
224,FUSCA,BOG-CHI,6,IV,7
225,FUSCA,BOG-CHI,7,IV,3
226,FUSCA,BOG-CHI,8,IV,9
227,FUSCA,BOG-CHI,9,IV,5
228,FUSCA,BOG-CHI,10,IV,2
229,FUSCA,BOG-CHI,11,IV,1
230,FUSCA,BOG-CHI,12,IV,6
231,FUSCA,BOG-CHI,13,IV,2
232,FUSCA,BOG-CHI,15,IV,1
233,FUSCA,BOG-CHI,16,IV,2
234,FUSCA,BOG-CHI,17,IV,1
235,FUSCA,BOG-CHI,18,IV,2
236,FUSCA,BOG-CHI,19,IV,3
237,FUSCA,BOG-CHI,4,V,2
238,FUSCA,BOG-CHI,5,V,1
239,FUSCA,BOG-CHI,6,V,1
240,FUSCA,BOG-CHI,7,V,1
241,FUSCA,BOG-CHI,8,V,3
242,FUSCA,BOG-CHI,14,V,3
243,FUSCA,BOG-CHI,16,V,1
