,estacion,sentido,hora,categoria,valorTabulado,fecha
0,ANDES,BOG-CHI,0,I,3376100,2021-08-01
1,ANDES,BOG-CHI,1,I,2202200,2021-08-01
2,ANDES,BOG-CHI,2,I,1556100,2021-08-01
3,ANDES,BOG-CHI,3,I,1410500,2021-08-01
4,ANDES,BOG-CHI,4,I,2247700,2021-08-01
5,ANDES,BOG-CHI,5,I,6734000,2021-08-01
6,ANDES,BOG-CHI,6,I,13850200,2021-08-01
7,ANDES,BOG-CHI,7,I,16370900,2021-08-01
8,ANDES,BOG-CHI,8,I,14560000,2021-08-01
9,ANDES,BOG-CHI,9,I,14459900,2021-08-01
10,ANDES,BOG-CHI,10,I,17517500,2021-08-01
11,ANDES,BOG-CHI,11,I,20602400,2021-08-01
12,ANDES,BOG-CHI,12,I,19637800,2021-08-01
13,ANDES,BOG-CHI,13,I,20447700,2021-08-01
14,ANDES,BOG-CHI,14,I,16680300,2021-08-01
15,ANDES,BOG-CHI,15,I,11975600,2021-08-01
16,ANDES,BOG-CHI,16,I,11629800,2021-08-01
17,ANDES,BOG-CHI,17,I,13995800,2021-08-01
18,ANDES,BOG-CHI,18,I,12922000,2021-08-01
19,ANDES,BOG-CHI,19,I,11784500,2021-08-01
20,ANDES,BOG-CHI,20,I,9272900,2021-08-01
21,ANDES,BOG-CHI,21,I,7007000,2021-08-01
22,ANDES,BOG-CHI,22,I,4650100,2021-08-01
23,ANDES,BOG-CHI,23,I,2893800,2021-08-01
24,ANDES,BOG-CHI,0,II,126400,2021-08-01
25,ANDES,BOG-CHI,1,II,31600,2021-08-01
26,ANDES,BOG-CHI,2,II,63200,2021-08-01
27,ANDES,BOG-CHI,3,II,79000,2021-08-01
28,ANDES,BOG-CHI,4,II,189600,2021-08-01
29,ANDES,BOG-CHI,5,II,932200,2021-08-01
30,ANDES,BOG-CHI,6,II,1343000,2021-08-01
31,ANDES,BOG-CHI,7,II,1548400,2021-08-01
32,ANDES,BOG-CHI,8,II,1422000,2021-08-01
33,ANDES,BOG-CHI,9,II,1469400,2021-08-01
34,ANDES,BOG-CHI,10,II,1469400,2021-08-01
35,ANDES,BOG-CHI,11,II,1295600,2021-08-01
36,ANDES,BOG-CHI,12,II,1358800,2021-08-01
37,ANDES,BOG-CHI,13,II,1485200,2021-08-01
38,ANDES,BOG-CHI,14,II,1469400,2021-08-01
39,ANDES,BOG-CHI,15,II,1595800,2021-08-01
40,ANDES,BOG-CHI,16,II,1390400,2021-08-01
41,ANDES,BOG-CHI,17,II,1248200,2021-08-01
42,ANDES,BOG-CHI,18,II,1358800,2021-08-01
43,ANDES,BOG-CHI,19,II,1295600,2021-08-01
44,ANDES,BOG-CHI,20,II,1295600,2021-08-01
45,ANDES,BOG-CHI,21,II,884800,2021-08-01
46,ANDES,BOG-CHI,22,II,489800,2021-08-01
47,ANDES,BOG-CHI,23,II,300200,2021-08-01
48,ANDES,BOG-CHI,0,III,173400,2021-08-01
49,ANDES,BOG-CHI,1,III,132600,2021-08-01
50,ANDES,BOG-CHI,2,III,30600,2021-08-01
51,ANDES,BOG-CHI,3,III,91800,2021-08-01
52,ANDES,BOG-CHI,4,III,183600,2021-08-01
